Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,10,0,0,0,+0,0.000
03-23-2020,10,0,0,0,+0,1.000
03-24-2020,18,0,0,0,+8,1.800
03-25-2020,20,0,0,0,+2,1.111
03-26-2020,21,0,0,0,+1,1.050
03-27-2020,30,0,0,0,+9,1.429
03-28-2020,37,0,0,0,+7,1.233
03-29-2020,43,0,0,0,+6,1.162
03-30-2020,54,0,0,0,+11,1.256
03-31-2020,66,0,0,0,+12,1.222
04-01-2020,79,0,0,0,+13,1.197
04-02-2020,102,1,0,0,+23,1.291
04-03-2020,121,1,0,0,+19,1.186
04-04-2020,144,1,0,0,+23,1.190
04-05-2020,171,1,0,0,+27,1.188
04-06-2020,189,1,0,0,+18,1.105
04-07-2020,218,2,0,0,+29,1.153
04-08-2020,233,2,0,0,+15,1.069
04-09-2020,250,3,0,0,+17,1.073
04-10-2020,283,3,0,0,+33,1.132
04-11-2020,293,3,0,0,+10,1.035
04-12-2020,307,3,0,304,+14,1.048
04-13-2020,331,3,0,328,+24,1.078
04-14-2020,371,3,0,368,+40,1.121
04-15-2020,381,4,0,377,+10,1.027
04-16-2020,393,4,0,389,+12,1.031
04-17-2020,443,4,0,439,+50,1.127
04-18-2020,463,4,0,459,+20,1.045
04-19-2020,481,6,0,475,+18,1.039
04-20-2020,493,6,0,487,+12,1.025
04-21-2020,517,13,0,504,+24,1.049
04-22-2020,531,14,0,517,+14,1.027
04-23-2020,546,14,0,532,+15,1.028
04-24-2020,563,14,0,549,+17,1.031
04-25-2020,578,8,0,570,+15,1.027
04-26-2020,593,8,0,585,+15,1.026
04-27-2020,606,9,0,597,+13,1.022
04-28-2020,614,9,0,605,+8,1.013
04-29-2020,624,9,0,615,+10,1.016
04-30-2020,641,9,0,632,+17,1.027
05-01-2020,651,11,0,640,+10,1.016
05-02-2020,664,11,0,653,+13,1.020
05-03-2020,679,11,0,668,+15,1.023
05-04-2020,702,11,0,691,+23,1.034
05-05-2020,716,11,0,705,+14,1.020
05-06-2020,722,11,0,711,+6,1.008
05-07-2020,740,13,0,727,+18,1.025
05-08-2020,753,13,0,740,+13,1.018
05-09-2020,767,13,0,754,+14,1.019
05-10-2020,773,13,0,760,+6,1.008
05-11-2020,784,13,0,771,+11,1.014
05-12-2020,793,14,0,779,+9,1.011
05-13-2020,803,14,0,789,+10,1.013
05-14-2020,817,15,0,802,+14,1.017
05-15-2020,828,16,0,812,+11,1.013
05-16-2020,835,15,0,820,+7,1.008
05-17-2020,851,16,0,835,+16,1.019
05-18-2020,857,18,0,839,+6,1.007
05-19-2020,866,18,0,848,+9,1.011
05-20-2020,872,19,0,853,+6,1.007
05-21-2020,883,21,0,862,+11,1.013
05-22-2020,895,22,0,873,+12,1.014
05-23-2020,904,22,0,882,+9,1.010
05-24-2020,924,22,0,902,+20,1.022
05-25-2020,930,22,0,908,+6,1.006
05-26-2020,943,22,0,921,+13,1.014
05-27-2020,956,22,0,934,+13,1.014
05-28-2020,970,25,0,945,+14,1.015
05-29-2020,991,26,0,965,+21,1.022
05-30-2020,1000,26,0,974,+9,1.009
05-31-2020,1007,26,0,981,+7,1.007
06-01-2020,1013,26,0,987,+6,1.006
06-02-2020,1028,26,0,1002,+15,1.015
06-03-2020,1037,27,0,1010,+9,1.009
