Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1,0,0,0,+0,0.000
03-23-2020,2,0,0,0,+1,2.000
03-24-2020,2,0,0,0,+0,1.000
03-25-2020,3,0,0,0,+1,1.500
03-26-2020,4,0,0,0,+1,1.333
03-27-2020,4,0,0,0,+0,1.000
03-28-2020,4,0,0,0,+0,1.000
03-29-2020,5,0,0,0,+1,1.250
03-30-2020,6,0,0,0,+1,1.200
03-31-2020,9,0,0,0,+3,1.500
04-01-2020,12,0,0,0,+3,1.333
04-02-2020,13,0,0,0,+1,1.083
04-03-2020,13,0,0,0,+0,1.000
04-04-2020,14,0,0,0,+1,1.077
04-05-2020,13,0,0,0,+-1,0.929
04-06-2020,13,0,0,0,+0,1.000
04-07-2020,13,0,0,0,+0,1.000
04-08-2020,14,0,0,0,+1,1.077
04-09-2020,15,0,0,0,+1,1.071
04-10-2020,16,0,0,0,+1,1.067
04-11-2020,15,0,0,0,+-1,0.938
04-12-2020,20,0,0,20,+5,1.333
04-13-2020,20,0,0,20,+0,1.000
04-14-2020,20,0,0,20,+0,1.000
04-15-2020,20,0,0,20,+0,1.000
04-16-2020,24,1,0,23,+4,1.200
04-17-2020,28,1,0,27,+4,1.167
04-18-2020,29,1,0,28,+1,1.036
04-19-2020,29,1,0,28,+0,1.000
04-20-2020,31,1,0,30,+2,1.069
04-21-2020,32,1,0,31,+1,1.032
04-22-2020,42,1,0,41,+10,1.312
04-23-2020,42,1,0,41,+0,1.000
04-24-2020,42,1,0,41,+0,1.000
04-25-2020,53,1,0,52,+11,1.262
04-26-2020,59,1,0,58,+6,1.113
04-27-2020,62,1,0,61,+3,1.051
04-28-2020,67,1,0,66,+5,1.081
04-29-2020,72,1,0,71,+5,1.075
04-30-2020,85,1,0,84,+13,1.181
05-01-2020,89,1,0,88,+4,1.047
05-02-2020,89,1,0,88,+0,1.000
05-03-2020,98,1,0,97,+9,1.101
05-04-2020,115,1,0,114,+17,1.173
05-05-2020,115,1,0,114,+0,1.000
05-06-2020,134,1,0,133,+19,1.165
05-07-2020,148,1,0,147,+14,1.104
05-08-2020,159,1,0,158,+11,1.074
05-09-2020,176,3,0,173,+17,1.107
05-10-2020,191,3,0,188,+15,1.085
05-11-2020,199,3,0,196,+8,1.042
05-12-2020,207,3,0,204,+8,1.040
05-13-2020,283,4,0,279,+76,1.367
05-14-2020,285,4,0,281,+2,1.007
05-15-2020,310,4,0,306,+25,1.088
05-16-2020,363,4,0,359,+53,1.171
05-17-2020,363,4,0,359,+0,1.000
05-18-2020,443,5,0,438,+80,1.220
05-19-2020,443,5,0,438,+0,1.000
05-20-2020,459,5,0,454,+16,1.036
05-21-2020,508,7,0,501,+49,1.107
05-22-2020,508,7,0,501,+0,1.000
05-23-2020,604,10,0,594,+96,1.189
05-24-2020,670,10,0,660,+66,1.109
05-25-2020,670,10,0,660,+0,1.000
05-26-2020,797,13,0,784,+127,1.190
05-27-2020,838,13,0,825,+41,1.051
05-28-2020,936,14,0,922,+98,1.117
05-29-2020,936,14,0,922,+0,1.000
05-30-2020,982,15,0,967,+46,1.049
05-31-2020,1105,16,0,1089,+123,1.125
06-01-2020,1137,16,0,1121,+32,1.029
06-02-2020,1289,17,0,1272,+152,1.134
06-03-2020,1520,21,0,1499,+231,1.179
