Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,23,1,0,0,+0,0.000
03-23-2020,31,2,0,0,+8,1.348
03-24-2020,39,2,0,0,+8,1.258
03-25-2020,51,2,0,0,+12,1.308
03-26-2020,64,2,0,0,+13,1.255
03-27-2020,79,3,0,0,+15,1.234
03-28-2020,100,3,0,0,+21,1.266
03-29-2020,127,3,0,0,+27,1.270
03-30-2020,174,6,0,0,+47,1.370
03-31-2020,239,8,0,0,+65,1.374
04-01-2020,286,11,0,0,+47,1.197
04-02-2020,316,12,0,0,+30,1.105
04-03-2020,316,15,0,0,+0,1.000
04-04-2020,452,18,0,0,+136,1.430
04-05-2020,475,20,0,0,+23,1.051
04-06-2020,513,21,0,0,+38,1.080
04-07-2020,573,23,0,0,+60,1.117
04-08-2020,620,24,0,0,+47,1.082
04-09-2020,683,33,0,0,+63,1.102
04-10-2020,725,39,0,0,+42,1.061
04-11-2020,788,42,0,0,+63,1.087
04-12-2020,897,44,0,853,+109,1.138
04-13-2020,903,45,0,858,+6,1.007
04-14-2020,923,45,0,878,+20,1.022
04-15-2020,974,51,0,923,+51,1.055
04-16-2020,1043,56,0,987,+69,1.071
04-17-2020,1068,58,0,1010,+25,1.024
04-18-2020,1118,60,0,1058,+50,1.047
04-19-2020,1213,62,0,1151,+95,1.085
04-20-2020,1252,63,0,1189,+39,1.032
04-21-2020,1298,64,0,1234,+46,1.037
04-22-2020,1252,63,0,1189,+-46,0.965
04-23-2020,1416,69,0,1347,+164,1.131
04-24-2020,1276,77,0,1199,+-140,0.901
04-25-2020,1307,83,0,1224,+31,1.024
04-26-2020,1371,84,0,1287,+64,1.049
04-27-2020,1389,84,0,1305,+18,1.013
04-28-2020,1400,86,0,1314,+11,1.008
04-29-2020,1433,86,0,1347,+33,1.024
04-30-2020,1539,92,0,1447,+106,1.074
05-01-2020,1575,94,0,1481,+36,1.023
05-02-2020,1757,95,0,1662,+182,1.116
05-03-2020,1808,97,0,1711,+51,1.029
05-04-2020,1843,97,0,1746,+35,1.019
05-05-2020,1924,99,0,1825,+81,1.044
05-06-2020,1968,99,0,1869,+44,1.023
05-07-2020,2031,102,0,1929,+63,1.032
05-08-2020,2156,107,0,2049,+125,1.062
05-09-2020,2173,108,0,2065,+17,1.008
05-10-2020,2198,111,0,2087,+25,1.012
05-11-2020,2256,113,0,2143,+58,1.026
05-12-2020,2299,114,0,2185,+43,1.019
05-13-2020,2329,115,0,2214,+30,1.013
05-14-2020,2427,117,0,2310,+98,1.042
05-15-2020,2542,122,0,2420,+115,1.047
05-16-2020,2589,122,0,2467,+47,1.018
05-17-2020,2646,123,0,2523,+57,1.022
05-18-2020,2710,124,0,2586,+64,1.024
05-19-2020,2805,124,0,2681,+95,1.035
05-20-2020,2866,125,0,2741,+61,1.022
05-21-2020,2913,126,0,2787,+47,1.016
05-22-2020,3030,126,0,2904,+117,1.040
05-23-2020,3100,127,0,2973,+70,1.023
05-24-2020,3189,127,0,3062,+89,1.029
05-25-2020,3260,129,0,3131,+71,1.022
05-26-2020,3324,129,0,3195,+64,1.020
05-27-2020,3397,129,0,3268,+73,1.022
05-28-2020,3486,131,0,3355,+89,1.026
05-29-2020,3647,132,0,3515,+161,1.046
05-30-2020,3718,133,0,3585,+71,1.019
05-31-2020,3776,136,0,3640,+58,1.016
06-01-2020,3873,136,0,3737,+97,1.026
06-02-2020,3935,138,0,3797,+62,1.016
06-03-2020,4023,140,0,3883,+88,1.022
