name,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020
Baltimore Maryland,27,34,41,50,80,102,140,161,185,226,288,350,424,487,584,637,641,853,963,1051
Bergen New Jersey,451,603,695,813,1200,1499,1825,2146,2459,2905,3419,3979,4734,5581,5998,6662,7270,7560,7998,8538
Bristol Massachusetts,24,25,31,67,90,128,178,207,261,304,363,421,513,596,651,714,752,812,971,1063
Broward Florida,214,260,308,352,501,609,804,827,1141,1207,1220,1464,1576,1734,1846,2021,2183,2300,2388,2573
Bucks Pennsylvania,34,43,69,86,110,144,152,215,245,285,313,367,442,506,566,617,692,792,906,994
Camden New Jersey,22,32,50,60,72,94,122,162,199,225,286,337,399,473,548,637,724,816,967,1043
Clark Nevada,124,122,208,243,344,433,433,514,739,846,933,1091,1240,1377,1478,1567,1680,1813,1938,2069
Cook Illinois,801,913,1185,1404,1400,2219,2585,3405,3683,4435,5057,5468,5970,7272,7848,8519,8519,10210,10210,12073
Cuyahoga Ohio,124,148,165,204,257,328,367,437,489,521,580,651,767,768,812,856,892,937,991,1029
Dallas Texas,129,151,164,241,296,360,430,478,538,618,716,814,904,1087,1094,1137,1242,1304,1410,1512
Davidson Tennessee,165,162,251,255,291,310,374,392,440,538,669,780,679,735,795,812,879,933,991,1035
Delaware Pennsylvania,43,54,84,99,154,182,222,272,299,333,383,462,532,603,694,807,878,1011,1196,1347
Denver Colorado,125,148,148,211,259,259,309,403,403,532,532,578,632,702,809,832,869,894,894,998
District of Columbia District of Columbia,102,100,118,139,185,228,268,300,337,392,486,577,641,742,881,980,1073,1189,1413,1491,1622
Dougherty Georgia,46,58,84,103,150,181,192,222,250,444,453,478,530,606,656,685,887,925,958,995
DuPage Illinois,79,95,103,131,130,193,196,267,312,346,380,434,484,572,634,693,693,845,845,967
Dutchess New York,82,99,123,152,189,224,260,318,390,481,543,662,804,933,1069,1180,1240,1385,1483,1588
East Baton Rouge Louisiana,18,41,56,72,101,120,149,157,179,219,234,314,376,607,634,791,861,902,964,1049
Erie New York,56,87,114,121,204,240,312,407,436,491,571,605,715,786,1032,1118,1195,1290,1381,1445
Essex Massachusetts,60,73,118,177,245,348,469,566,647,772,868,1021,1215,1375,1479,1624,1806,2053,2286,2620
Essex New Jersey,168,269,338,377,605,822,1079,1214,1551,1896,2193,2518,2949,3429,3910,4307,4846,5322,5748,6228
Fairfield Connecticut,203,264,377,534,594,737,888,1224,1424,1832,1940,2067,2641,2738,2954,3618,4004,4004,4704,4977
Fulton Georgia,109,143,182,196,209,305,361,394,449,553,605,690,859,915,935,999,1088,1199,1231,1316
Hampden Massachusetts,12,15,24,45,54,89,179,197,251,343,459,527,634,699,734,851,942,1019,1214,1332
Harris Texas,73,77,133,184,201,227,443,523,558,674,841,949,1093,1267,1375,1787,2123,2310,3013,3221
