name,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020
Alameda California,+0,+47,+17,+0,+43,+42,+0,+50,+13,+30,+0,+46,+84,+0,+123,+22,+46,+40,+0,+92,+40,+39,+43,+0,+76,+43,+56,+51,+50,+29,+48
Allegheny Pennsylvania,+0,+8,+10,+30,+45,+25,+61,+46,+25,+35,+31,+63,+57,+76,+53,+37,+47,+31,+39,+29,+48,+21,+19,+17,+11,+21,+22,+62,+26,+7,+17
Anne Arundel Maryland,+0,+2,+4,+7,+10,+22,+25,+11,+11,+17,+31,+48,+43,+40,+30,+24,+27,+96,+39,+49,+61,+44,+65,+59,+62,+51,+70,+39,+42,+51,+59
Arapahoe Colorado,+0,+13,+0,+11,+50,+0,+36,+86,+0,+92,+0,+48,+60,+59,+108,+44,+66,+46,+0,+113,+54,+152,+59,+41,+0,+60,+99,+77,+117,+0,+113
Baltimore Maryland,+0,+7,+7,+9,+30,+22,+38,+21,+24,+41,+62,+64,+74,+64,+99,+58,+4,+214,+113,+93,+101,+84,+104,+16,+108,+31,+53,+95,+69,+142,+50
Baltimore City Maryland,+0,+7,+10,+12,+19,+16,+24,+17,+23,+35,+34,+44,+48,+30,+51,+41,+24,+112,+67,+51,+67,+56,+61,+89,+98,+100,+113,+105,+14,+119,+31
Bergen New Jersey,+0,+152,+92,+118,+387,+299,+333,+331,+313,+427,+585,+605,+767,+894,+427,+675,+671,+341,+469,+585,+434,+422,+308,+334,+422,+561,+454,+300,+476,+372,+345
Berks Pennsylvania,+0,+1,+2,+4,+16,+29,+0,+3,+14,+28,+41,+17,+33,+34,+41,+50,+43,+47,+200,+104,+210,+105,+115,+97,+88,+84,+118,+211,+150,+47,+43
Bexar Texas,+0,+11,+12,+0,+15,+29,+12,+15,+17,+11,+39,+22,+25,+88,+42,+26,+46,+47,+51,+61,+50,+58,+49,+22,+21,+75,+28,+41,+33,+23,+14
Bristol Massachusetts,+0,+1,+6,+36,+23,+39,+50,+29,+55,+43,+60,+58,+93,+84,+58,+63,+46,+67,+159,+92,+105,+136,+67,+41,+73,+97,+54,+39,+33,+0,+121
