name,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020
Bergen New Jersey,+0,+152,+92,+118,+387,+299,+333,+331,+313,+427,+585,+605,+767,+894,+427,+675,+671,+341
Broward Florida,+0,+46,+48,+44,+149,+110,+200,+24,+314,+67,+13,+249,+117,+167,+121,+181,+163,+128
Clark Nevada,+0,+0,+86,+37,+101,+93,+0,+85,+225,+116,+92,+164,+154,+139,+101,+89,+126,+144
Cook Illinois,+0,+117,+272,+224,+0,+821,+374,+832,+282,+769,+656,+423,+536,+1328,+595,+694,+0,+1792
Dallas Texas,+0,+24,+14,+78,+56,+64,+72,+49,+61,+82,+100,+100,+90,+184,+7,+43,+106,+63
Delaware Pennsylvania,+0,+11,+30,+17,+55,+29,+41,+50,+27,+35,+52,+80,+72,+74,+92,+114,+76,+136
District of Columbia District of Columbia,+0,+0,+18,+21,+46,+44,+40,+33,+38,+59,+94,+91,+67,+104,+145,+100,+95,+114,+229
Essex Massachusetts,+0,+13,+45,+59,+70,+103,+122,+98,+83,+131,+101,+154,+199,+162,+106,+147,+188,+262
Essex New Jersey,+0,+101,+69,+39,+228,+217,+260,+141,+337,+336,+362,+355,+450,+517,+498,+411,+585,+520
Fairfield Connecticut,+0,+62,+114,+162,+61,+145,+156,+337,+200,+425,+116,+146,+584,+108,+226,+669,+417,+0
Fulton Georgia,+0,+34,+39,+14,+13,+96,+66,+34,+56,+107,+54,+88,+170,+59,+21,+65,+97,+116
Hampden Massachusetts,+0,+3,+9,+21,+10,+35,+93,+18,+54,+99,+121,+71,+115,+72,+35,+121,+108,+84
Harris Texas,+0,+4,+56,+51,+18,+26,+216,+81,+37,+117,+167,+108,+151,+178,+111,+414,+337,+195
Hartford Connecticut,+0,+7,+27,+28,+22,+51,+39,+48,+54,+63,+76,+70,+140,+47,+25,+131,+163,+0
Hudson New Jersey,+0,+64,+44,+26,+181,+153,+177,+203,+340,+292,+304,+360,+565,+656,+433,+471,+554,+488
Jefferson Louisiana,+0,+86,+41,+66,+99,+90,+196,+17,+77,+355,+240,+745,+317,+513,+80,+442,+392,+170
King Washington,+0,+130,+0,+189,+218,+0,+500,+82,+2,+169,+0,+326,+131,+111,+269,+164,+155,+202
Lake Illinois,+0,+27,+15,+28,+0,+91,+11,+59,+43,+46,+88,+63,+68,+75,+59,+73,+0,+226
Lehigh Pennsylvania,+0,+6,+2,+11,+25,+30,+16,+42,+80,+41,+102,+105,+105,+220,+73,+129,+140,+173
Los Angeles California,+0,+129,+126,+150,+417,+236,+0,+364,+645,+545,+499,+527,+521,+39,+1350,+422,+559,+623
Luzerne Pennsylvania,+0,+3,+11,+6,+9,+19,+10,+29,+56,+62,+70,+102,+100,+164,+93,+108,+133,+152
Macomb Michigan,+0,+35,+50,+56,+66,+57,+130,+86,+108,+125,+235,+244,+228,+278,+165,+156,+255,+212
Maricopa Arizona,+0,+58,+60,+52,+48,+100,+55,+91,+145,+98,+83,+90,+88,+122,+155,+107,+62,+64
Marion Indiana,+0,+0,+79,+65,+67,+191,+100,+92,+128,+160,+153,+187,+125,+141,+190,+196,+185,+149
Miami-Dade Florida,+0,+51,+60,+62,+216,+147,+240,+189,+440,+491,+79,+684,+478,+526,+256,+335,+516,+357
Middlesex Massachusetts,+0,+33,+72,+142,+92,+147,+157,+139,+160,+199,+242,+288,+332,+266,+164,+318,+237,+358
Middlesex New Jersey,+0,+63,+67,+39,+189,+135,+168,+130,+185,+154,+216,+273,+359,+453,+372,+313,+454,+439
Milwaukee Wisconsin,+0,+22,+39,+82,+22,+64,+130,+65,+11,+93,+70,+89,+154,+0,+167,+66,+67,+93
Monmouth New Jersey,+0,+80,+50,+25,+188,+133,+147,+89,+160,+110,+161,+157,+285,+322,+289,+191,+225,+268
Montgomery Maryland,+0,+11,+13,+20,+37,+44,+47,+46,+40,+47,+59,+51,+68,+74,+53,+100,+78,+217
Montgomery Pennsylvania,+0,+26,+23,+60,+94,+61,+37,+77,+52,+30,+79,+86,+140,+107,+129,+119,+129,+162
Morris New Jersey,+0,+58,+27,+19,+92,+76,+51,+124,+154,+121,+101,+140,+216,+320,+182,+156,+283,+229
New Haven Connecticut,+0,+12,+48,+38,+29,+66,+14,+44,+93,+144,+94,+36,+244,+133,+138,+306,+196,+0
Norfolk Massachusetts,+0,+7,+47,+93,+70,+101,+97,+58,+80,+110,+91,+109,+107,+154,+72,+111,+210,+186
Oakland Michigan,+0,+52,+99,+115,+125,+156,+194,+152,+195,+226,+319,+273,+357,+245,+250,+345,+356,+271
Ocean New Jersey,+0,+42,+36,+42,+167,+95,+140,+135,+115,+148,+187,+162,+314,+318,+174,+197,+267,+215
Orange California,+0,+30,+27,+35,+69,+65,+82,+28,+33,+38,+104,+50,+55,+75,+48,+48,+49,+85
Orleans Louisiana,+0,+116,+108,+152,+170,+173,+128,+52,+130,+354,+436,+878,+328,+490,+100,+499,+377,+128
Palm Beach Florida,+0,+17,+12,+17,+51,+25,+98,+41,+90,+128,+16,+170,+121,+96,+46,+69,+67,+70
Passaic New Jersey,+0,+46,+75,+39,+144,+85,+124,+223,+260,+203,+200,+256,+466,+640,+371,+529,+348,+268
Philadelphia Pennsylvania,+0,+79,+77,+90,+133,+162,+166,+87,+182,+243,+360,+425,+330,+578,+181,+539,+544,+505
Plymouth Massachusetts,+0,+7,+32,+37,+37,+49,+85,+53,+55,+79,+102,+60,+124,+153,+65,+104,+127,+133
Prince George's Maryland,+0,+7,+16,+13,+25,+47,+48,+51,+47,+47,+62,+70,+90,+90,+132,+131,+104,+290
Riverside California,+0,+17,+11,+11,+37,+44,+34,+12,+96,+80,+0,+122,+0,+145,+161,+147,+70,+163
San Diego California,+0,+46,+25,+12,+55,+48,+72,+71,+31,+88,+130,+116,+117,+146,+97,+117,+78,+50
Santa Clara California,+0,+39,+73,+84,+83,+32,+17,+55,+202,+42,+66,+63,+0,+129,+59,+0,+78,+95
Snohomish Washington,+0,+39,+95,+20,+144,+134,+1,+-1,+156,+161,+75,+72,+0,+127,+56,+44,+56,+36
Somerset New Jersey,+0,+16,+35,+15,+62,+43,+36,+37,+54,+64,+59,+77,+92,+124,+68,+69,+131,+127
St. Louis Missouri,+0,+47,+31,+29,+44,+74,+66,+23,+30,+126,+113,+107,+0,+152,+0,+169,+170,+0
Suffolk Massachusetts,+0,+28,+80,+108,+106,+183,+212,+97,+175,+258,+251,+272,+287,+246,+229,+271,+316,+355
Unassigned New Jersey,+0,+198,+226,+285,+548,+506,+494,+542,+827,+-161,+826,+354,+-58,+-873,+-114,+-300,+-1314,+-816
Union New Jersey,+0,+65,+57,+16,+170,+87,+223,+154,+317,+205,+243,+349,+477,+429,+300,+469,+683,+463
Wayne Michigan,+0,+161,+238,+246,+267,+421,+506,+388,+491,+540,+735,+599,+1027,+666,+756,+752,+775,+581
Worcester Massachusetts,+0,+5,+31,+56,+37,+53,+72,+46,+53,+43,+130,+104,+158,+90,+63,+99,+95,+124
Travis Texas,+0,+17,+7,+12,+21,+41,+19,+21,+6,+38,+0,+107,+0,+79,+54,+18,+0,+52
Williamson Texas,+0,+5,+0,+8,+5,+7,+0,+3,+0,+5,+8,+13,+8,+0,+6,+0,+4,+6
Hampshire Massachusetts,+0,+2,+2,+3,+6,+3,+10,+7,+9,+23,+12,+21,+12,+11,+3,+19,+11,+6
